#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"::","63715","::","0","Bound","688"
"::","60240","::","0","Bound","688"
"::","59713","::","0","Bound","2940"
"::","59705","::","0","Bound","2940"
"::","59702","::","0","Bound","2940"
"::","59651","::","0","Bound","2872"
"::","59649","::","0","Bound","2872"
"::","58407","::","0","Bound","688"
"::","57508","::","0","Bound","204"
"::","53142","::","0","Bound","3020"
"::","53141","::","0","Bound","3020"
"fe80::533d:74fb:4547:6aac%3","63715","fe80::533d:74fb:4547:6aac%3","49668","Established","688"
"::","63702","::","0","Listen","688"
"fe80::533d:74fb:4547:6aac%3","60240","fe80::533d:74fb:4547:6aac%3","49668","Established","688"
"fe80::533d:74fb:4547:6aac%3","59713","fe80::533d:74fb:4547:6aac%3","49668","Established","2940"
"::","59707","::","0","Listen","2940"
"fe80::533d:74fb:4547:6aac%3","59705","fe80::533d:74fb:4547:6aac%3","389","Established","2940"
"fe80::533d:74fb:4547:6aac%3","59702","fe80::533d:74fb:4547:6aac%3","389","Established","2940"
"fe80::533d:74fb:4547:6aac%3","58407","fe80::533d:74fb:4547:6aac%3","135","Established","688"
"fe80::533d:74fb:4547:6aac%3","58260","fe80::533d:74fb:4547:6aac%3","445","Established","4"
"::","57509","::","0","Listen","204"
"::1","57508","::1","389","Established","204"
"fe80::533d:74fb:4547:6aac%3","57466","fe80::533d:74fb:4547:6aac%3","49668","TimeWait","0"
"::","56084","::","0","Listen","2220"
"::","53143","::","0","Listen","656"
"::1","53142","::1","389","Established","3020"
"::1","53141","::1","389","Established","3020"
"::","53140","::","0","Listen","2836"
"::","53139","::","0","Listen","688"
"::","49670","::","0","Listen","1632"
"fe80::533d:74fb:4547:6aac%3","49668","fe80::533d:74fb:4547:6aac%3","63715","Established","688"
"fe80::533d:74fb:4547:6aac%3","49668","fe80::533d:74fb:4547:6aac%3","60240","Established","688"
"fe80::533d:74fb:4547:6aac%3","49668","fe80::533d:74fb:4547:6aac%3","59713","Established","688"
"::","49668","::","0","Listen","688"
"::","49667","::","0","Listen","1712"
"::","49666","::","0","Listen","1236"
"::","49665","::","0","Listen","532"
"::","49664","::","0","Listen","688"
"::","47001","::","0","Listen","4"
"::","9389","::","0","Listen","2872"
"::","8000","::","0","Listen","4"
"::","6520","::","0","Listen","2220"
"::","5985","::","0","Listen","4"
"::","3389","::","0","Listen","388"
"::","3269","::","0","Listen","688"
"::","3268","::","0","Listen","688"
"::","636","::","0","Listen","688"
"::","593","::","0","Listen","924"
"::","464","::","0","Listen","688"
"fe80::533d:74fb:4547:6aac%3","445","fe80::533d:74fb:4547:6aac%3","58260","Established","4"
"::","445","::","0","Listen","4"
"fe80::533d:74fb:4547:6aac%3","389","fe80::533d:74fb:4547:6aac%3","59705","Established","688"
"fe80::533d:74fb:4547:6aac%3","389","fe80::533d:74fb:4547:6aac%3","59702","Established","688"
"::1","389","::1","57508","Established","688"
"::1","389","::1","53142","Established","688"
"::1","389","::1","53141","Established","688"
"::","389","::","0","Listen","688"
"fe80::533d:74fb:4547:6aac%3","135","fe80::533d:74fb:4547:6aac%3","58407","Established","924"
"::","135","::","0","Listen","924"
"::","88","::","0","Listen","688"
"fe80::533d:74fb:4547:6aac%3","53","::","0","Listen","204"
"dead:beef::74ea:23dc:88da:1428","53","::","0","Listen","204"
"dead:beef::193","53","::","0","Listen","204"
"::1","53","::","0","Listen","204"
