"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"::","51802","::","0","Bound","700"
"::","50230","::","0","Bound","700"
"::","49960","::","0","Bound","2960"
"::","49952","::","0","Bound","2960"
"::","49949","::","0","Bound","2960"
"::","49936","::","0","Bound","2928"
"::","49934","::","0","Bound","2928"
"::","49911","::","0","Bound","2408"
"::","49905","::","0","Bound","2988"
"::","49904","::","0","Bound","2988"
"::","49883","::","0","Bound","2968"
"::","49882","::","0","Bound","2968"
"fe80::d976:c606:587e:f1e1%8","58361","fe80::d976:c606:587e:f1e1%8","135","TimeWait","0"
"fe80::d976:c606:587e:f1e1%8","58342","fe80::d976:c606:587e:f1e1%8","445","Established","4"
"fe80::d976:c606:587e:f1e1%8","51802","fe80::d976:c606:587e:f1e1%8","49667","Established","700"
"fe80::d976:c606:587e:f1e1%8","49960","fe80::d976:c606:587e:f1e1%8","49667","Established","2960"
"::","49954","::","0","Listen","2960"
"fe80::d976:c606:587e:f1e1%8","49952","fe80::d976:c606:587e:f1e1%8","389","Established","2960"
"fe80::d976:c606:587e:f1e1%8","49949","fe80::d976:c606:587e:f1e1%8","389","Established","2960"
"::","49930","::","0","Listen","2876"
"fe80::d976:c606:587e:f1e1%8","49911","fe80::d976:c606:587e:f1e1%8","49667","Established","2408"
"::","49906","::","0","Listen","2988"
"fe80::d976:c606:587e:f1e1%8","49905","fe80::d976:c606:587e:f1e1%8","389","Established","2988"
"::1","49904","::1","389","Established","2988"
"::","49903","::","0","Listen","672"
"::1","49883","::1","389","Established","2968"
"::1","49882","::1","389","Established","2968"
"::","49681","::","0","Listen","2840"
"::","49680","::","0","Listen","700"
"::","49678","::","0","Listen","700"
"::","49677","::","0","Listen","700"
"fe80::d976:c606:587e:f1e1%8","49667","fe80::d976:c606:587e:f1e1%8","51802","Established","700"
"fe80::d976:c606:587e:f1e1%8","49667","fe80::d976:c606:587e:f1e1%8","49960","Established","700"
"fe80::d976:c606:587e:f1e1%8","49667","fe80::d976:c606:587e:f1e1%8","49911","Established","700"
"::","49667","::","0","Listen","700"
"::","49666","::","0","Listen","1676"
"::","49665","::","0","Listen","1332"
"::","49664","::","0","Listen","536"
"::","47001","::","0","Listen","4"
"::","9389","::","0","Listen","2928"
"::","5985","::","0","Listen","4"
"::","3269","::","0","Listen","700"
"::","3268","::","0","Listen","700"
"::","2179","::","0","Listen","1468"
"::","636","::","0","Listen","700"
"::","593","::","0","Listen","968"
"::","464","::","0","Listen","700"
"fe80::d976:c606:587e:f1e1%8","445","fe80::d976:c606:587e:f1e1%8","58342","Established","4"
"::","445","::","0","Listen","4"
"fe80::d976:c606:587e:f1e1%8","389","fe80::d976:c606:587e:f1e1%8","49952","Established","700"
"fe80::d976:c606:587e:f1e1%8","389","fe80::d976:c606:587e:f1e1%8","49949","Established","700"
"fe80::d976:c606:587e:f1e1%8","389","fe80::d976:c606:587e:f1e1%8","49905","Established","700"
"::1","389","::1","49904","Established","700"
"::1","389","::1","49883","Established","700"
"::1","389","::1","49882","Established","700"
"::","389","::","0","Listen","700"
"::","135","::","0","Listen","968"
"::","88","::","0","Listen","700"
"fe80::d976:c606:587e:f1e1%8","53","::","0","Listen","2988"
"::1","53","::","0","Listen","2988"
"0.0.0.0","58309","0.0.0.0","0","Bound","2072"
"0.0.0.0","49931","0.0.0.0","0","Bound","2876"
"0.0.0.0","49929","0.0.0.0","0","Bound","2876"
"10.129.217.8","58309","10.10.16.36","443","Established","2072"
"0.0.0.0","49954","0.0.0.0","0","Listen","2960"
"0.0.0.0","49930","0.0.0.0","0","Listen","2876"
"192.168.100.1","49929","192.168.100.1","389","Established","2876"
"0.0.0.0","49906","0.0.0.0","0","Listen","2988"
"0.0.0.0","49903","0.0.0.0","0","Listen","672"
"0.0.0.0","49681","0.0.0.0","0","Listen","2840"
"0.0.0.0","49680","0.0.0.0","0","Listen","700"
"0.0.0.0","49678","0.0.0.0","0","Listen","700"
"0.0.0.0","49677","0.0.0.0","0","Listen","700"
"0.0.0.0","49667","0.0.0.0","0","Listen","700"
"0.0.0.0","49666","0.0.0.0","0","Listen","1676"
"0.0.0.0","49665","0.0.0.0","0","Listen","1332"
"0.0.0.0","49664","0.0.0.0","0","Listen","536"
"0.0.0.0","9389","0.0.0.0","0","Listen","2928"
"10.129.217.8","5985","10.10.16.36","57902","Established","4"
"10.129.217.8","5985","10.10.16.36","50012","TimeWait","0"
"10.129.217.8","5985","10.10.16.36","51578","TimeWait","0"
"10.129.217.8","5985","10.10.16.36","57900","TimeWait","0"
"0.0.0.0","3269","0.0.0.0","0","Listen","700"
"0.0.0.0","3268","0.0.0.0","0","Listen","700"
"0.0.0.0","2179","0.0.0.0","0","Listen","1468"
"0.0.0.0","636","0.0.0.0","0","Listen","700"
"0.0.0.0","593","0.0.0.0","0","Listen","968"
"192.168.100.1","389","192.168.100.2","49803","Established","700"
"192.168.100.1","389","192.168.100.1","49929","Established","700"
"0.0.0.0","389","0.0.0.0","0","Listen","700"
"192.168.100.1","139","0.0.0.0","0","Listen","4"
"10.129.217.8","139","0.0.0.0","0","Listen","4"
"0.0.0.0","135","0.0.0.0","0","Listen","968"
"192.168.100.1","53","0.0.0.0","0","Listen","2988"
"127.0.0.1","53","0.0.0.0","0","Listen","2988"
"10.129.217.8","53","0.0.0.0","0","Listen","2988"
