"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"::","57103","::","0","Bound","692"
"::","53513","::","0","Bound","3080"
"::","53512","::","0","Bound","2636"
"::","53504","::","0","Bound","2636"
"::","53501","::","0","Bound","2636"
"::","53495","::","0","Bound","2652"
"::","53494","::","0","Bound","2220"
"::","53492","::","0","Bound","2220"
"::","53491","::","0","Bound","1996"
"::","53489","::","0","Bound","1996"
"::","53464","::","0","Bound","3080"
"::","53455","::","0","Bound","3320"
"::","53424","::","0","Bound","2652"
"::","53391","::","0","Bound","2676"
"::","53390","::","0","Bound","2676"
"::","58433","::","0","Listen","1888"
"fe80::a923:d33c:16be:38e5%12","57103","fe80::a923:d33c:16be:38e5%12","49668","Established","692"
"fe80::a923:d33c:16be:38e5%12","53513","fe80::a923:d33c:16be:38e5%12","3268","Established","3080"
"fe80::a923:d33c:16be:38e5%12","53512","fe80::a923:d33c:16be:38e5%12","49668","Established","2636"
"::","53506","::","0","Listen","2636"
"fe80::a923:d33c:16be:38e5%12","53504","fe80::a923:d33c:16be:38e5%12","389","Established","2636"
"fe80::a923:d33c:16be:38e5%12","53501","fe80::a923:d33c:16be:38e5%12","389","Established","2636"
"fe80::a923:d33c:16be:38e5%12","53495","fe80::a923:d33c:16be:38e5%12","389","Established","2652"
"::","53490","::","0","Listen","1996"
"dead:beef::a923:d33c:16be:38e5","53489","dead:beef::a923:d33c:16be:38e5","389","Established","1996"
"fe80::a923:d33c:16be:38e5%12","53464","fe80::a923:d33c:16be:38e5%12","49668","Established","3080"
"fe80::a923:d33c:16be:38e5%12","53456","fe80::a923:d33c:16be:38e5%12","445","Established","4"
"fe80::a923:d33c:16be:38e5%12","53455","fe80::a923:d33c:16be:38e5%12","49668","Established","3320"
"::","53425","::","0","Listen","2652"
"::1","53424","::1","389","Established","2652"
"::","53412","::","0","Listen","672"
"::1","53391","::1","389","Established","2676"
"::1","53390","::1","389","Established","2676"
"::","53388","::","0","Listen","3040"
"::","53387","::","0","Listen","692"
"::","52951","::","0","Listen","4472"
"fe80::a923:d33c:16be:38e5%12","49668","fe80::a923:d33c:16be:38e5%12","57103","Established","692"
"fe80::a923:d33c:16be:38e5%12","49668","fe80::a923:d33c:16be:38e5%12","53512","Established","692"
"fe80::a923:d33c:16be:38e5%12","49668","fe80::a923:d33c:16be:38e5%12","53464","Established","692"
"fe80::a923:d33c:16be:38e5%12","49668","fe80::a923:d33c:16be:38e5%12","53455","Established","692"
"::","49668","::","0","Listen","692"
"::","49667","::","0","Listen","1612"
"::","49666","::","0","Listen","1180"
"::","49665","::","0","Listen","540"
"::","49664","::","0","Listen","692"
"::","47001","::","0","Listen","4"
"::","9801","::","0","Listen","4"
"::","9800","::","0","Listen","4"
"::","9389","::","0","Listen","2220"
"::","5985","::","0","Listen","4"
"::","5040","::","0","Listen","3080"
"::","3269","::","0","Listen","692"
"fe80::a923:d33c:16be:38e5%12","3268","fe80::a923:d33c:16be:38e5%12","53513","Established","692"
"::","3268","::","0","Listen","692"
"::","636","::","0","Listen","692"
"::","593","::","0","Listen","932"
"::","464","::","0","Listen","692"
"fe80::a923:d33c:16be:38e5%12","445","fe80::a923:d33c:16be:38e5%12","53456","Established","4"
"::","445","::","0","Listen","4"
"::","443","::","0","Listen","4"
"fe80::a923:d33c:16be:38e5%12","389","fe80::a923:d33c:16be:38e5%12","53504","Established","692"
"fe80::a923:d33c:16be:38e5%12","389","fe80::a923:d33c:16be:38e5%12","53501","Established","692"
"fe80::a923:d33c:16be:38e5%12","389","fe80::a923:d33c:16be:38e5%12","53495","Established","692"
"dead:beef::a923:d33c:16be:38e5","389","dead:beef::a923:d33c:16be:38e5","53489","Established","692"
"::1","389","::1","53424","Established","692"
"::1","389","::1","53391","Established","692"
"::1","389","::1","53390","Established","692"
"::","389","::","0","Listen","692"
"::","135","::","0","Listen","932"
