#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"::","57450","::","0","Bound","712"
"::","49982","::","0","Bound","1500"
"::","49981","::","0","Bound","1500"
"::","49979","::","0","Bound","1500"
"::","49936","::","0","Bound","2636"
"::","49934","::","0","Bound","2636"
"::","49908","::","0","Bound","3180"
"::","49899","::","0","Bound","1376"
"::","49898","::","0","Bound","1376"
"::","49876","::","0","Bound","2824"
"::","49875","::","0","Bound","2824"
"fe80::d7fa:9149:d5bf:f1e4%7","57450","fe80::d7fa:9149:d5bf:f1e4%7","49670","Established","712"
"::","49984","::","0","Listen","1500"
"fe80::d7fa:9149:d5bf:f1e4%7","49982","fe80::d7fa:9149:d5bf:f1e4%7","389","Established","1500"
"fe80::d7fa:9149:d5bf:f1e4%7","49981","fe80::d7fa:9149:d5bf:f1e4%7","49670","Established","1500"
"fe80::d7fa:9149:d5bf:f1e4%7","49979","fe80::d7fa:9149:d5bf:f1e4%7","389","Established","1500"
"fe80::d7fa:9149:d5bf:f1e4%7","49908","fe80::d7fa:9149:d5bf:f1e4%7","49670","Established","3180"
"::","49900","::","0","Listen","1376"
"fe80::d7fa:9149:d5bf:f1e4%7","49899","fe80::d7fa:9149:d5bf:f1e4%7","389","Established","1376"
"::1","49898","::1","389","Established","1376"
"::","49878","::","0","Listen","684"
"::1","49876","::1","389","Established","2824"
"::1","49875","::1","389","Established","2824"
"::","49674","::","0","Listen","2556"
"::","49673","::","0","Listen","712"
"::","49671","::","0","Listen","712"
"fe80::d7fa:9149:d5bf:f1e4%7","49670","fe80::d7fa:9149:d5bf:f1e4%7","57450","Established","712"
"fe80::d7fa:9149:d5bf:f1e4%7","49670","fe80::d7fa:9149:d5bf:f1e4%7","49981","Established","712"
"fe80::d7fa:9149:d5bf:f1e4%7","49670","fe80::d7fa:9149:d5bf:f1e4%7","49908","Established","712"
"::","49670","::","0","Listen","712"
"::","49669","::","0","Listen","2320"
"::","49667","::","0","Listen","712"
"::","49666","::","0","Listen","1664"
"::","49665","::","0","Listen","1324"
"::","49664","::","0","Listen","540"
"::","47001","::","0","Listen","4"
"::","9389","::","0","Listen","2636"
"::","5985","::","0","Listen","4"
"::","3389","::","0","Listen","532"
"::","3269","::","0","Listen","712"
"::","3268","::","0","Listen","712"
"::","2179","::","0","Listen","3108"
"::","636","::","0","Listen","712"
"::","593","::","0","Listen","980"
"::","464","::","0","Listen","712"
"::","445","::","0","Listen","4"
"fe80::d7fa:9149:d5bf:f1e4%7","389","fe80::d7fa:9149:d5bf:f1e4%7","49982","Established","712"
"fe80::d7fa:9149:d5bf:f1e4%7","389","fe80::d7fa:9149:d5bf:f1e4%7","49979","Established","712"
"fe80::d7fa:9149:d5bf:f1e4%7","389","fe80::d7fa:9149:d5bf:f1e4%7","49899","Established","712"
"::1","389","::1","49898","Established","712"
"::1","389","::1","49876","Established","712"
"::1","389","::1","49875","Established","712"
"::","389","::","0","Listen","712"
"::","135","::","0","Listen","980"
"::","88","::","0","Listen","712"
"fe80::d7fa:9149:d5bf:f1e4%7","53","::","0","Listen","1376"
"fe80::c4ff:5747:1d3c:fba0%9","53","::","0","Listen","1376"
"dead:beef::d735:dbdc:6ab0:e730","53","::","0","Listen","1376"
"::1","53","::","0","Listen","1376"
"0.0.0.0","49923","0.0.0.0","0","Bound","712"
"192.168.100.1","60745","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","60744","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","60743","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","60742","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","60736","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","60735","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","60734","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","60733","192.168.100.2","5985","TimeWait","0"
"192.168.100.1","49984","192.168.100.2","49774","Established","1500"
"0.0.0.0","49984","0.0.0.0","0","Listen","1500"
"192.168.100.1","49923","192.168.100.2","49671","Established","712"
"0.0.0.0","49900","0.0.0.0","0","Listen","1376"
"0.0.0.0","49878","0.0.0.0","0","Listen","684"
"0.0.0.0","49674","0.0.0.0","0","Listen","2556"
"0.0.0.0","49673","0.0.0.0","0","Listen","712"
